id,name,issue_id,creator_id,project_id,input_file_id,status
40000000-0000-4000-a000-000000000001,売上トレンド分析セッション,11000000-0000-4000-a000-000000000001,00000000-0000-4000-a000-000000000001,20000000-0000-4000-a000-000000000001,,active
40000000-0000-4000-a000-000000000002,地域別売上分析,11000000-0000-4000-a000-000000000002,00000000-0000-4000-a000-000000000001,20000000-0000-4000-a000-000000000001,,active
40000000-0000-4000-a000-000000000003,コスト構造分析,11000000-0000-4000-a000-000000000003,00000000-0000-4000-a000-000000000001,20000000-0000-4000-a000-000000000002,,draft
40000000-0000-4000-a000-000000000004,製造原価分析,11000000-0000-4000-a000-000000000004,00000000-0000-4000-a000-000000000002,20000000-0000-4000-a000-000000000002,,active
40000000-0000-4000-a000-000000000005,顧客満足度調査分析,11000000-0000-4000-a000-000000000005,00000000-0000-4000-a000-000000000002,20000000-0000-4000-a000-000000000003,,draft
40000000-0000-4000-a000-000000000006,NPS分析セッション,11000000-0000-4000-a000-000000000006,00000000-0000-4000-a000-000000000003,20000000-0000-4000-a000-000000000003,,active
40000000-0000-4000-a000-000000000007,市場シェア分析,11000000-0000-4000-a000-000000000007,00000000-0000-4000-a000-000000000004,20000000-0000-4000-a000-000000000004,,draft
40000000-0000-4000-a000-000000000008,業務フロー分析,11000000-0000-4000-a000-000000000008,00000000-0000-4000-a000-000000000005,20000000-0000-4000-a000-000000000005,,active
40000000-0000-4000-a000-000000000009,キャンペーン効果分析,11000000-0000-4000-a000-000000000009,00000000-0000-4000-a000-000000000006,20000000-0000-4000-a000-000000000006,,completed
40000000-0000-4000-a000-000000000010,スキルマップ分析,11000000-0000-4000-a000-000000000010,00000000-0000-4000-a000-000000000007,20000000-0000-4000-a000-000000000007,,active
